acao;evento;timestamp;tabela;origem;destino;mascara;gateway
+R;35008;48.525548324673;11;145.236.0.6;145.236.0.7;32;145.236.0.7
+R;35013;48.525548331836;9;145.236.0.4;145.236.0.7;32;145.236.0.7
+R;35055;48.526411289476;24;145.236.0.19;145.236.0.4;32;145.236.0.4
+R;35060;48.526411639079;12;145.236.0.7;145.236.0.4;32;145.236.0.4
+R;35065;48.52641164932;10;145.236.0.5;145.236.0.4;32;145.236.0.4
+R;35070;48.526411670994;20;145.236.0.15;145.236.0.4;32;145.236.0.4
+R;35075;48.526411742704;25;145.236.0.20;145.236.0.4;32;145.236.0.4
+R;35080;48.52641177513;16;145.236.0.11;145.236.0.4;32;145.236.0.4
+R;35085;48.526411787006;11;145.236.0.6;145.236.0.4;32;145.236.0.4
+R;35523;49.521352131921;23;145.236.0.18;145.236.0.10;32;145.236.0.10
*R;35523;49.521352131921;23;145.236.0.18;145.236.0.1;32;145.236.0.10
*R;36283;50.199648254234;15;145.236.0.10;145.236.0.2;32;145.236.0.2
*R;36283;50.199648254234;15;145.236.0.10;145.236.0.2;32;145.236.0.2
*R;36357;50.200411922108;18;145.236.0.13;145.236.0.2;32;145.236.0.16
*R;36357;50.200411922108;18;145.236.0.13;145.236.0.2;32;145.236.0.16
*R;36362;50.200412101138;17;145.236.0.12;145.236.0.2;32;145.236.0.16
*R;36362;50.200412101138;17;145.236.0.12;145.236.0.2;32;145.236.0.16
*R;36367;50.20041210349;6;145.236.0.1;145.236.0.2;32;145.236.0.16
*R;36367;50.20041210349;6;145.236.0.1;145.236.0.2;32;145.236.0.16
*R;36377;50.200412198866;8;145.236.0.3;145.236.0.2;32;145.236.0.16
*R;36377;50.200412198866;8;145.236.0.3;145.236.0.2;32;145.236.0.16
*R;36397;50.200412273088;14;145.236.0.9;145.236.0.2;32;145.236.0.16
*R;36397;50.200412273088;14;145.236.0.9;145.236.0.2;32;145.236.0.16
*R;36403;50.200412355212;11;145.236.0.6;145.236.0.2;32;145.236.0.16
*R;36408;50.200412422873;20;145.236.0.15;145.236.0.2;32;145.236.0.16
+R;36452;50.200466032024;22;145.236.0.17;145.236.0.18;32;145.236.0.18
*R;37015;50.519019459824;18;145.236.0.13;145.236.0.2;32;145.236.0.8
*R;37092;50.519632452783;11;145.236.0.6;145.236.0.2;32;145.236.0.17
*R;37142;50.521427551202;20;145.236.0.15;145.236.0.2;32;145.236.0.6
*R;37142;50.521427551202;20;145.236.0.15;145.236.0.2;32;145.236.0.6
*R;37192;50.5214282953;8;145.236.0.3;145.236.0.2;32;145.236.0.6
*R;37192;50.5214282953;8;145.236.0.3;145.236.0.2;32;145.236.0.6
*R;37275;50.521877311885;25;145.236.0.20;145.236.0.2;32;145.236.0.4
+R;38054;50.52454043102;12;145.236.0.7;145.236.0.11;32;145.236.0.11
