acao;evento;timestamp;tabela;origem;destino;mascara;gateway;interface
+R;1238;3.526427201692;AODVNetwork.host[7];145.236.0.8;145.236.0.3;32;145.236.0.3;wlan0
+R;1243;3.526427228322;AODVNetwork.host[5];145.236.0.6;145.236.0.3;32;145.236.0.3;wlan0
+R;1287;3.526906422802;AODVNetwork.host[2];145.236.0.3;145.236.0.19;32;145.236.0.19;wlan0
+R;1292;3.526906435413;AODVNetwork.host[11];145.236.0.12;145.236.0.19;32;145.236.0.19;wlan0
+R;1297;3.526906528982;AODVNetwork.host[6];145.236.0.7;145.236.0.19;32;145.236.0.19;wlan0
+R;1302;3.526906578376;AODVNetwork.host[16];145.236.0.17;145.236.0.19;32;145.236.0.19;wlan0
+R;1302;3.526906578376;AODVNetwork.host[16];145.236.0.17;145.236.0.1;32;145.236.0.19;wlan0
+R;1307;3.526906748584;AODVNetwork.host[9];145.236.0.10;145.236.0.19;32;145.236.0.19;wlan0
+R;1307;3.526906748584;AODVNetwork.host[9];145.236.0.10;145.236.0.1;32;145.236.0.19;wlan0
+R;1312;3.526906757686;AODVNetwork.host[10];145.236.0.11;145.236.0.19;32;145.236.0.19;wlan0
+R;1317;3.526906821126;AODVNetwork.host[13];145.236.0.14;145.236.0.19;32;145.236.0.19;wlan0
+R;1317;3.526906821126;AODVNetwork.host[13];145.236.0.14;145.236.0.1;32;145.236.0.19;wlan0
+R;1383;3.527622154679;AODVNetwork.host[7];145.236.0.8;145.236.0.6;32;145.236.0.6;wlan0
+R;1388;3.527622438761;AODVNetwork.host[6];145.236.0.7;145.236.0.6;32;145.236.0.6;wlan0
+R;1393;3.52762265977;AODVNetwork.host[2];145.236.0.3;145.236.0.6;32;145.236.0.6;wlan0
+R;1398;3.527622739077;AODVNetwork.host[8];145.236.0.9;145.236.0.6;32;145.236.0.6;wlan0
+R;1445;3.527734290642;AODVNetwork.host[5];145.236.0.6;145.236.0.7;32;145.236.0.7;wlan0
+R;1450;3.527734309214;AODVNetwork.host[18];145.236.0.19;145.236.0.7;32;145.236.0.7;wlan0
+R;1456;3.527734608646;AODVNetwork.host[10];145.236.0.11;145.236.0.7;32;145.236.0.7;wlan0
+R;1499;3.527985903833;AODVNetwork.host[12];145.236.0.13;145.236.0.4;32;145.236.0.4;wlan0
+R;1504;3.527986102446;AODVNetwork.host[17];145.236.0.18;145.236.0.4;32;145.236.0.4;wlan0
+R;1504;3.527986102446;AODVNetwork.host[17];145.236.0.18;145.236.0.1;32;145.236.0.4;wlan0
+R;1509;3.527986180626;AODVNetwork.host[14];145.236.0.15;145.236.0.4;32;145.236.0.4;wlan0
+R;1514;3.527986202044;AODVNetwork.host[1];145.236.0.2;145.236.0.4;32;145.236.0.4;wlan0
+R;1514;3.527986202044;AODVNetwork.host[1];145.236.0.2;145.236.0.1;32;145.236.0.4;wlan0
+R;1524;3.527986426179;AODVNetwork.host[11];145.236.0.12;145.236.0.4;32;145.236.0.4;wlan0
+R;1529;3.527986521005;AODVNetwork.host[13];145.236.0.14;145.236.0.4;32;145.236.0.4;wlan0
